0,artifactUrl,attributions,author,concepts,contentType,createdBy,description,downloadUrl,gradeLevel,identifier,keywords,language,name,objectType,status,subject,variants,content_type,duration,title,title_lan,title_lan_confidence,
,https://www.youtube.com/watch?v=gwb3A8NpSug,,,,Resource,f79637f0-2c24-42ca-84b8-fc0d8190a392,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251467391406080015348/adding-input-tools-on-google_1527673454385_do_31251467391406080015348_1.0.ecar,[Other],do_31251467391406080015348,,[English],Adding Input tools on google,Content,Live,English,"{u'spine': {u'size': 42162.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251467391406080015348/adding-input-tools-on-google_1527673454498_do_31251467391406080015348_1.0_spine.ecar'}}",youtube,0:01:24,Adding Google Input Tools on Chrome,en,1,
,https://www.youtube.com/watch?v=-8Qm5mFVM_w,,,,Resource,f79637f0-2c24-42ca-84b8-fc0d8190a392,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251470240602521625376/adding-math-expressions-formula-on-the-slide_1527677235392_do_31251470240602521625376_1.0.ecar,[Other],do_31251470240602521625376,,[English],Adding Math Expressions Formula on the slide,Content,Live,Mathematics,"{u'spine': {u'size': 37627.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31251470240602521625376/adding-math-expressions-formula-on-the-slide_1527677235466_do_31251470240602521625376_1.0_spine.ecar'}}",youtube,0:01:11,Adding Math Expressions Formula on the slide,en,1,
,https://youtu.be/UqBuFVy0THQ,,,[C213],Resource,2defd89a-5ed9-4ced-8efd-9fabeebe0f03,Ascending order - Video,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31233938749564518411025/ascending-order-video_1506334446444_do_31233938749564518411025_1.0.ecar,[Class 2],do_31233938749564518411025,"[Ascending, Worksheet]",[English],Ascending order - Video,Content,Live,Mathematics,"{u'spine': {u'size': 11228.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31233938749564518411025/ascending-order-video_1506334446522_do_31233938749564518411025_1.0_spine.ecar'}}",youtube,0:20:50,1 G2T1 Maths Video 18A Ascendingorder 2017 18,en,1,
,https://www.youtube.com/watch?v=25BLJJGBK_Q,,,,Resource,d95eaaf7-9503-48ea-8625-60443d6ccea5,poem,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31249491740984934415645/chap-13_marigold_english_topsy-turvy-land_1525849053805_do_31249491740984934415645_1.0.ecar,[Class 5],do_31249491740984934415645,"[topsy turvy land, Story]",[English],chap 13_marigold_english_Topsy turvy land,Content,Live,English,"{u'spine': {u'size': 92579.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31249491740984934415645/chap-13_marigold_english_topsy-turvy-land_1525849053915_do_31249491740984934415645_1.0_spine.ecar'}}",youtube,0:03:13,topsy turvy land class v Marigold,en,1,
,https://www.youtube.com/watch?v=2ufQFp9Q_oE,,,,Resource,d95eaaf7-9503-48ea-8625-60443d6ccea5,story,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31249491764056064015646/chap-14_marigold_english_gullivers-travells_1525849115522_do_31249491764056064015646_1.0.ecar,[Class 5],do_31249491764056064015646,"[travels, Story]",[English],chap 14_marigold_english_Gullivers Travells,Content,Live,English,"{u'spine': {u'size': 92577.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31249491764056064015646/chap-14_marigold_english_gullivers-travells_1525849115654_do_31249491764056064015646_1.0_spine.ecar'}}",youtube,0:03:41,"Ch 7.1 Gulliver's Travels (Marigold, Chapter 7, Grade 5, CBSE) Easy Hindi Explanation",en,1,
,https://www.youtube.com/watch?v=_CEL_pxqnhg,,,,Resource,d95eaaf7-9503-48ea-8625-60443d6ccea5,poem,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31249491798454272015649/chap-15_marigold_english_nobodys-friend_1525849280405_do_31249491798454272015649_2.0.ecar,[Class 5],do_31249491798454272015649,"[sweets, nobody's friend, Learning / Study material]",[English],chap 15_marigold_english_nobody's friend,Content,Live,English,"{u'spine': {u'size': 92651.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31249491798454272015649/chap-15_marigold_english_nobodys-friend_1525849280515_do_31249491798454272015649_2.0_spine.ecar'}}",youtube,0:03:31,Nobody's friend - CBSE Class V English Poem,en,1,
,https://www.youtube.com/watch?v=jyA0ir8TzSo,,,,Resource,d95eaaf7-9503-48ea-8625-60443d6ccea5,story,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31249491481518080025654/chap-6_marigold_english_robinson-crusoe_1525848649887_do_31249491481518080025654_1.0.ecar,[Class 5],do_31249491481518080025654,"[foot, Story]",[English],chap 6_marigold_english_Robinson Crusoe,Content,Live,English,"{u'spine': {u'size': 92570.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31249491481518080025654/chap-6_marigold_english_robinson-crusoe_1525848650006_do_31249491481518080025654_1.0_spine.ecar'}}",youtube,0:03:08,"Ch 3.1 Robinson Crusoe Discovers a foot print (Marigold, Grade 5, CBSE) Easy Hindi Explanation",en,0.9873734117,
,https://www.youtube.com/watch?v=zBrQuSc69FM&feature=youtu.be,,,,Resource,9bb1bff9-0ecd-462d-9edc-834417d7fb1a,"AAYTAN , VOLUME",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31249491023798272015624/chapter-11_aao-samjhe-vigyan_science_1531299117798_do_31249491023798272015624_1.0.ecar,[Class 6],do_31249491023798272015624,"[AAYTAN, VOLUME, Story]",[English],CHAPTER-11_AAO SAMJHE VIGYAN_SCIENCE,Content,Live,Physics,"{u'spine': {u'size': 73821.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31249491023798272015624/chapter-11_aao-samjhe-vigyan_science_1531299117908_do_31249491023798272015624_1.0_spine.ecar'}}",youtube,0:10:56,Maths - How to calculate Volume of a Cuboid - Hindi,en,1,
,https://www.youtube.com/watch?v=Pxny_KkjFcM&feature=youtu.be&t=11,,,,Resource,9bb1bff9-0ecd-462d-9edc-834417d7fb1a,maapan measurement,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3125015210545315842677/chapter-11_aao-samjhe-vigyan_science_1526066518822_do_3125015210545315842677_1.0.ecar,[Class 6],do_3125015210545315842677,"[maapan, measurement, Story]",[English],CHAPTER-11_AAO SAMJHE VIGYAN_SCIENCE,Content,Live,Physics,"{u'spine': {u'size': 73846.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3125015210545315842677/chapter-11_aao-samjhe-vigyan_science_1526066518922_do_3125015210545315842677_1.0_spine.ecar'}}",youtube,0:10:20,Measurement ( मापन ) - feel of millimeter Part -1,en,1,
,https://www.youtube.com/watch?v=zBrQuSc69FM&feature=youtu.be,,,,Resource,9bb1bff9-0ecd-462d-9edc-834417d7fb1a,volume of cuboid,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3125015287719034882686/chapter-11_aao-samjhe-vigyan_science_1526066471062_do_3125015287719034882686_1.0.ecar,[Class 6],do_3125015287719034882686,"[volume of cuboid, Story]",[English],CHAPTER-11_AAO SAMJHE VIGYAN_SCIENCE,Content,Live,Physics,"{u'spine': {u'size': 73837.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3125015287719034882686/chapter-11_aao-samjhe-vigyan_science_1526066471197_do_3125015287719034882686_1.0_spine.ecar'}}",youtube,0:10:56,Maths - How to calculate Volume of a Cuboid - Hindi,en,1,
