IL_FUNC_OBJECT_TYPE,IL_SYS_NODE_TYPE,IL_UNIQUE_ID,SYS_INTERNAL_LAST_UPDATED_ON,appIcon,appId,artifactUrl,attributions,audience,board,channel,code,collections,compatibilityLevel,consumerId,contentDisposition,contentEncoding,contentType,createdBy,createdFor,createdOn,creator,description,downloadUrl,framework,gradeLevel,graph_id,idealScreenDensity,idealScreenSize,identifier,keywords,language,lastPublishedBy,lastPublishedOn,lastSubmittedOn,lastUpdatedBy,lastUpdatedOn,license,mediaType,medium,mimeType,name,nodeType,node_id,objectType,os,osId,owner,ownershipType,pkgVersion,posterImage,pragma,prevState,previewUrl,resourceType,s3Key,showNotification,size,status,subject,topic,variants,versionKey,visibility,derived_contentType
Content,DATA_NODE,do_31257982241225113629617,2018-09-03T10:25:26.595+0000,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982241225113629617/artifact/1hao0l0ss6ks3n0gmm0164vjoxxbqjhgl.thumb.png,prod.diksha.app,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982241225113629617/artifact/113hvnsqdczvxcx6hevpllsbgncztvq9n_1535622853277.pdf,,['Learner'],CBSE,in.ekstep,ekstep,['do_312588948146135040218145'],4,3961fd1a-48dd-4993-bbc4-766cd1a7556d,inline,identity,Resource,9480,['ncert'],2018-08-30T09:54:13.057+0000,,Resources and Development_1_Resources_Types of Resources_Human Resources,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982241225113629617/resources_types-of-resources_1_1535970326386_do_31257982241225113629617_1.0.ecar,ekstep_ncert_k-12,Class 8,domain,hdpi,normal,do_31257982241225113629617,"['Knowledge', ' Skill', ' Human Resource Development', 'workforce', ' Organisation']",['English'],ekstep,2018-09-03T10:25:26.386+0000,,ekstep,2018-09-03T10:25:26.180+0000,,content,English,application/pdf,Resources_Types of Resources_1,DATA_NODE,575020,Content,['All'],org.ekstep.quiz.app,Poulami Paul_www.wikipedia.org,,1.0,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_31257982241225113629617/1hao0l0ss6ks3n0gmm0164vjoxxbqjhgl.png,['external'],Draft,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982241225113629617/artifact/113hvnsqdczvxcx6hevpllsbgncztvq9n_1535622853277.pdf,Learn,ecar_files/do_31257982241225113629617/resources_types-of-resources_1_1535970326386_do_31257982241225113629617_1.0.ecar,,235598.0,Live,Geography,['Resources'],"{'spine': {'ecarUrl': 'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982241225113629617/resources_types-of-resources_1_1535970326497_do_31257982241225113629617_1.0_spine.ecar', 'size': 103243.0}}",1535970326180,Default,pdf
Content,DATA_NODE,do_31257982380544819219932,2018-09-03T10:26:33.341+0000,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982380544819219932/artifact/15zczippo-vg5eoii0uoryu3ajvwvjpnk.thumb.png,prod.diksha.app,https://www.youtube.com/embed/B7Cf7jwlguc?autoplay=1&enablejsapi=1,,['Learner'],CBSE,in.ekstep,ekstep,['do_312588948145668096218100'],4,3961fd1a-48dd-4993-bbc4-766cd1a7556d,online,identity,Resource,9480,['ncert'],2018-08-30T09:57:03.125+0000,,Contemporary India - I_1_India – Size and Location_Location_India: Location,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982380544819219932/india-size-and-location_location_2_1535970393067_do_31257982380544819219932_1.0.ecar,ekstep_ncert_k-12,Class 8,domain,hdpi,normal,do_31257982380544819219932,"['Location', ' India', ' Latitude', ' Longitude', ' Tropic of Cancer', ' Bay of Bengal', ' Arabian Sea', ' Andaman and Nicobar Island', ' Lakshadweep', ' Size', ' Land Mass', ' Seventh-largest', ' Northwest', ' North', ' South', ' East', ' Standard Meridian of India', ' Mirzapur']",['English'],ekstep,2018-09-03T10:26:33.067+0000,,ekstep,2018-09-03T10:26:32.878+0000,,content,English,video/x-youtube,India – Size and Location_Location_2,DATA_NODE,575140,Content,['All'],org.ekstep.quiz.app,smartschoolonline_www.youtube.com,,1.0,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_31257982380544819219932/15zczippo-vg5eoii0uoryu3ajvwvjpnk.png,['external'],Draft,https://www.youtube.com/embed/B7Cf7jwlguc?autoplay=1&enablejsapi=1,Learn,ecar_files/do_31257982380544819219932/india-size-and-location_location_2_1535970393067_do_31257982380544819219932_1.0.ecar,,430208.0,Live,Geography,['Size and Location of India'],"{'spine': {'ecarUrl': 'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982380544819219932/india-size-and-location_location_2_1535970393172_do_31257982380544819219932_1.0_spine.ecar', 'size': 430207.0}}",1535970392878,Default,youtube
Content,DATA_NODE,do_31257982193863884829591,2018-09-03T10:25:04.252+0000,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982193863884829591/artifact/1d6yudpbjcworqjcwnaonzte-pbpaq15y.thumb.png,prod.diksha.app,https://www.youtube.com/embed/RClHJ0Q2E1g?autoplay=1&enablejsapi=1,,['Learner'],CBSE,in.ekstep,ekstep,,4,3961fd1a-48dd-4993-bbc4-766cd1a7556d,online,identity,Resource,9480,['ncert'],2018-08-30T09:53:15.243+0000,,Our Environment_4_Air_Cyclone – Nature’s Fury_Understanding of Tropical Cyclones,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982193863884829591/air_cyclone-natures-fury_3_1535970304073_do_31257982193863884829591_1.0.ecar,ekstep_ncert_k-12,Class 8,domain,hdpi,normal,do_31257982193863884829591,"['Meteorogical', ' Cyclone', ' Winds Low Pressure', ' North Hemisphere', ' South Hemisphere', ' Direction', ' Clockwise', ' Anticlockwise', ' Isobar', ' Circular', ' Oblong', ' Tropical Cyclone', ' Temperate Cyclone', ' Inner Ring', ' Outer Ring', ' Annular Zone', ' Horizontal Component', ' Sea Swell', ' Coastal Surge', ' Cloud Burst', ' Hurricane Wind', ' Lightning']",['English'],ekstep,2018-09-03T10:25:04.073+0000,,ekstep,2018-09-03T10:25:03.921+0000,,content,English,video/x-youtube,Air_Cyclone – Nature’s Fury_3,DATA_NODE,574954,Content,['All'],org.ekstep.quiz.app,Unacademy_www.youtube.com,,1.0,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_31257982193863884829591/1d6yudpbjcworqjcwnaonzte-pbpaq15y.png,['external'],Draft,https://www.youtube.com/embed/RClHJ0Q2E1g?autoplay=1&enablejsapi=1,Learn,ecar_files/do_31257982193863884829591/air_cyclone-natures-fury_3_1535970304073_do_31257982193863884829591_1.0.ecar,,88713.0,Live,Geography,['Air'],"{'spine': {'ecarUrl': 'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982193863884829591/air_cyclone-natures-fury_3_1535970304142_do_31257982193863884829591_1.0_spine.ecar', 'size': 88714.0}}",1535970303921,Default,youtube
Content,DATA_NODE,do_31257982531887923229758,2018-09-03T10:27:47.810+0000,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982531887923229758/artifact/1e-ltp-_vjk_bcxhdkewps-2cgapqgtbm.thumb.png,prod.diksha.app,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982531887923229758/artifact/1zlgzre_uy06wj7nsmefw8grxremn1lkb_1535623208096.pdf,,['Learner'],CBSE,in.ekstep,ekstep,['do_312588948146372608118572'],4,3961fd1a-48dd-4993-bbc4-766cd1a7556d,inline,identity,Resource,9480,['ncert'],2018-08-30T10:00:07.871+0000,,Contemporary India - II_1_Resources and Development_Soil as a Resource_Red Soil,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982531887923229758/resources-and-development_soil-as-a-resource_1_1535970467633_do_31257982531887923229758_1.0.ecar,ekstep_ncert_k-12,Class 8,domain,hdpi,normal,do_31257982531887923229758,"['Red Soil', ' Warm', ' Temperate', ' Moist', ' Climate', ' Deciduous', ' Mixed Forest', ' Mineral', ' Illuvial', ' Crystalline', ' Humus', ' Water']",['English'],ekstep,2018-09-03T10:27:47.633+0000,,ekstep,2018-09-03T10:27:47.456+0000,,content,English,application/pdf,Resources and Development_Soil as a Resource_1,DATA_NODE,575192,Content,['All'],org.ekstep.quiz.app,Poulami Paul_www.wikipedia.org,,1.0,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_31257982531887923229758/1e-ltp-_vjk_bcxhdkewps-2cgapqgtbm.png,['external'],Draft,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982531887923229758/artifact/1zlgzre_uy06wj7nsmefw8grxremn1lkb_1535623208096.pdf,Learn,ecar_files/do_31257982531887923229758/resources-and-development_soil-as-a-resource_1_1535970467633_do_31257982531887923229758_1.0.ecar,,153707.0,Live,Geography,['Resources And Development - India'],"{'spine': {'ecarUrl': 'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982531887923229758/resources-and-development_soil-as-a-resource_1_1535970467718_do_31257982531887923229758_1.0_spine.ecar', 'size': 66924.0}}",1535970467456,Default,pdf
Content,DATA_NODE,do_31257982452386201619959,2018-09-03T10:27:08.366+0000,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982452386201619959/artifact/1ndwifmhusspni8tgqoquiqkbmnvnf05z.thumb.png,prod.diksha.app,https://www.youtube.com/embed/oLM2WHxtBio?autoplay=1&enablejsapi=1,,['Learner'],CBSE,in.ekstep,ekstep,['do_312588948145700864218118'],4,3961fd1a-48dd-4993-bbc4-766cd1a7556d,online,identity,Resource,9480,['ncert'],2018-08-30T09:58:30.822+0000,,Contemporary India - I_3_Drainage_The Himalayan Rivers_Brahmaputra River and its Tributaries,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982452386201619959/drainage_the-himalayan-rivers_2_1535970428206_do_31257982452386201619959_1.0.ecar,ekstep_ncert_k-12,Class 8,domain,hdpi,normal,do_31257982452386201619959,"['Brahmaputra', ' Assam', ' Bangladesh', ' Dihang', ' Glacier', ' Chemayungdung', ' Yarlung', ' Tsangpo', ' Sadiya', ' Lohit', ' Confluence', ' Sikkim', ' Teesta', ' Rangpo', ' Jalpaiguri', ' Mishmi', ' Medicinal', ' Dhansiri', ' Manas', ' Sankosh']",['English'],ekstep,2018-09-03T10:27:08.206+0000,,ekstep,2018-09-03T10:27:08.053+0000,,content,English,video/x-youtube,Drainage_The Himalayan Rivers_2,DATA_NODE,575149,Content,['All'],org.ekstep.quiz.app,Unacademy - Government Exams_www.youtube.com,,1.0,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_31257982452386201619959/1ndwifmhusspni8tgqoquiqkbmnvnf05z.png,['external'],Draft,https://www.youtube.com/embed/oLM2WHxtBio?autoplay=1&enablejsapi=1,Learn,ecar_files/do_31257982452386201619959/drainage_the-himalayan-rivers_2_1535970428206_do_31257982452386201619959_1.0.ecar,,75929.0,Live,Geography,['Drainage In India'],"{'spine': {'ecarUrl': 'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982452386201619959/drainage_the-himalayan-rivers_2_1535970428271_do_31257982452386201619959_1.0_spine.ecar', 'size': 75929.0}}",1535970428053,Default,youtube
Content,DATA_NODE,do_31257982442745856019956,2018-09-03T10:27:04.707+0000,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982442745856019956/artifact/1qgmkkg6npoun-rktivqjzgjpsx9uh141.thumb.png,prod.diksha.app,https://www.youtube.com/embed/6POFolOTDfo?autoplay=1&enablejsapi=1,,['Learner'],CBSE,in.ekstep,ekstep,['do_312588948145692672218116'],4,3961fd1a-48dd-4993-bbc4-766cd1a7556d,online,identity,Resource,9480,['ncert'],2018-08-30T09:58:19.054+0000,,Contemporary India - I_3_Drainage_The Himalayan Rivers_Indus River System,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982442745856019956/drainage_the-himalayan-rivers_2_1535970424523_do_31257982442745856019956_1.0.ecar,ekstep_ncert_k-12,Class 8,domain,hdpi,normal,do_31257982442745856019956,"['Drainage', ' Himalayan', ' Indus', ' River', ' Ganga', ' Peninsula', ' Tributary', ' Mahi', ' Sabarmati', ' Periyar', ' Godavari', ' Nubra', ' Karakoram', ' Ladakh', ' Rimo', ' Glacier', ' Shyok', ' Ghizar', ' Gilgit', ' Catchment', ' Hunza']",['English'],ekstep,2018-09-03T10:27:04.523+0000,,ekstep,2018-09-03T10:27:04.386+0000,,content,English,video/x-youtube,Drainage_The Himalayan Rivers_2,DATA_NODE,575195,Content,['All'],org.ekstep.quiz.app,Unacademy - Government Exams_www.youtube.com,,1.0,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_31257982442745856019956/1qgmkkg6npoun-rktivqjzgjpsx9uh141.png,['external'],Draft,https://www.youtube.com/embed/6POFolOTDfo?autoplay=1&enablejsapi=1,Learn,ecar_files/do_31257982442745856019956/drainage_the-himalayan-rivers_2_1535970424523_do_31257982442745856019956_1.0.ecar,,131403.0,Live,Geography,['Drainage In India'],"{'spine': {'ecarUrl': 'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982442745856019956/drainage_the-himalayan-rivers_2_1535970424597_do_31257982442745856019956_1.0_spine.ecar', 'size': 131404.0}}",1535970424386,Default,youtube
Content,DATA_NODE,do_31257982395606630429694,2018-09-03T10:26:41.259+0000,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982395606630429694/artifact/159bojv7n_utulburloh9v3rx4u6jilz6.thumb.png,prod.diksha.app,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982395606630429694/artifact/1m3mtmpk9-zwubfq0dvvctaaabiaeptwt_1535623041955.pdf,,['Learner'],CBSE,in.ekstep,ekstep,['do_312588948145676288218106'],4,3961fd1a-48dd-4993-bbc4-766cd1a7556d,inline,identity,Resource,9480,['ncert'],2018-08-30T09:57:21.511+0000,,Contemporary India - I_2_Physical Features of India_Major Physiographic Divisions_Himalayas,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982395606630429694/physical-features-of-india_major-physiographic-divisions_1_1535970400909_do_31257982395606630429694_1.0.ecar,ekstep_ncert_k-12,Class 8,domain,hdpi,normal,do_31257982395606630429694,"['Himalayan Range', ' Mount Everest', ' Indian Tectonic Plate', ' Nanga Parbat', ' Indo-gangetic Plain', ' Nepal', ' India', ' Bhutan', ' China ', ' Pakistan', ' Indian Subcontinent', ' Karakoram ', ' Hindu Kush']",['English'],ekstep,2018-09-03T10:26:40.909+0000,,ekstep,2018-09-03T10:26:40.674+0000,,content,English,application/pdf,Physical Features of India_Major Physiographic Divisions_1,DATA_NODE,575124,Content,['All'],org.ekstep.quiz.app,Poulami Paul_www.wikipedia.org,,1.0,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_31257982395606630429694/159bojv7n_utulburloh9v3rx4u6jilz6.png,['external'],Draft,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982395606630429694/artifact/1m3mtmpk9-zwubfq0dvvctaaabiaeptwt_1535623041955.pdf,Learn,ecar_files/do_31257982395606630429694/physical-features-of-india_major-physiographic-divisions_1_1535970400909_do_31257982395606630429694_1.0.ecar,,1452699.0,Live,Geography,['Physical Features of India'],"{'spine': {'ecarUrl': 'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982395606630429694/physical-features-of-india_major-physiographic-divisions_1_1535970401117_do_31257982395606630429694_1.0_spine.ecar', 'size': 414418.0}}",1535970400674,Default,pdf
Content,DATA_NODE,do_31257982492664627219980,2018-09-03T10:27:27.477+0000,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982492664627219980/artifact/12w7jtjl-aienxa65mmdt_aw2rteajzey.thumb.png,prod.diksha.app,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982492664627219980/artifact/1vuhxneyqxacruxtt6j5vayf2t55eupxx_1535623160179.pdf,,['Learner'],CBSE,in.ekstep,ekstep,['do_312588948146339840118554'],4,3961fd1a-48dd-4993-bbc4-766cd1a7556d,inline,identity,Resource,9480,['ncert'],2018-08-30T09:59:19.990+0000,,Contemporary India - II_1_Resources and Development_Types of Resources_Biotic Component,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982492664627219980/resources-and-development_types-of-resources_1_1535970447264_do_31257982492664627219980_1.0.ecar,ekstep_ncert_k-12,Class 8,domain,hdpi,normal,do_31257982492664627219980,"['Biotic Component', ' Producer', ' Autotroph', ' Plant', ' Photosynthesis ', ' Food', ' Sunlight', ' Water', ' Carbon Dioxide', ' Energy', ' Heterotroph', ' Animal', ' Decomposer', ' Detritivores', ' Fungi', ' Bacteria']",['English'],ekstep,2018-09-03T10:27:27.264+0000,,ekstep,2018-09-03T10:27:27.028+0000,,content,English,application/pdf,Resources and Development_Types of Resources_1,DATA_NODE,575256,Content,['All'],org.ekstep.quiz.app,Poulami Paul_www.wikipedia.org,,1.0,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_31257982492664627219980/12w7jtjl-aienxa65mmdt_aw2rteajzey.png,['external'],Draft,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982492664627219980/artifact/1vuhxneyqxacruxtt6j5vayf2t55eupxx_1535623160179.pdf,Learn,ecar_files/do_31257982492664627219980/resources-and-development_types-of-resources_1_1535970447264_do_31257982492664627219980_1.0.ecar,,136896.0,Live,Geography,['Resources And Development - India'],"{'spine': {'ecarUrl': 'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982492664627219980/resources-and-development_types-of-resources_1_1535970447365_do_31257982492664627219980_1.0_spine.ecar', 'size': 64648.0}}",1535970447028,Default,pdf
Content,DATA_NODE,do_31257982263420518419882,2018-09-03T10:25:36.303+0000,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982263420518419882/artifact/1zm9b3_szyz048bfhg-n_e6v5sqgmoywp.thumb.png,prod.diksha.app,https://www.youtube.com/embed/qWv9xtVUwwk?autoplay=1&enablejsapi=1,,['Learner'],CBSE,in.ekstep,ekstep,,4,3961fd1a-48dd-4993-bbc4-766cd1a7556d,online,identity,Resource,9480,['ncert'],2018-08-30T09:54:40.151+0000,,"Resources and Development_2_Land, Soil, Water, Natural Vegetation and Wildlife Resources_Soil_Soil",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982263420518419882/land-soil-water-natural-vegetation-and-wildlife-resources_soil_2_1535970336094_do_31257982263420518419882_1.0.ecar,ekstep_ncert_k-12,Class 8,domain,hdpi,normal,do_31257982263420518419882,"['Soil', ' Profile', ' Solid', ' Rock', ' Layer', ' Horizon', ' Water', ' Humus', ' Fertile', ' Sub-soil', ' Stone', ' Sand', ' Organic', ' Mineral', ' Bed Rock']",['English'],ekstep,2018-09-03T10:25:36.094+0000,,ekstep,2018-09-03T10:25:35.926+0000,,content,English,video/x-youtube,"Land, Soil, Water, Natural Vegetation and Wildlife Resources_Soil_2",DATA_NODE,574980,Content,['All'],org.ekstep.quiz.app,CBSE_www.youtube.com,,1.0,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_31257982263420518419882/1zm9b3_szyz048bfhg-n_e6v5sqgmoywp.png,['external'],Draft,https://www.youtube.com/embed/qWv9xtVUwwk?autoplay=1&enablejsapi=1,Learn,ecar_files/do_31257982263420518419882/land-soil-water-natural-vegetation-and-wildlife-resources_soil_2_1535970336094_do_31257982263420518419882_1.0.ecar,,164043.0,Live,Geography,['Land; Soil; Water; Natural Vegetation and Wildlife Resources'],"{'spine': {'ecarUrl': 'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982263420518419882/land-soil-water-natural-vegetation-and-wildlife-resources_soil_2_1535970336208_do_31257982263420518419882_1.0_spine.ecar', 'size': 164043.0}}",1535970335926,Default,youtube
Content,DATA_NODE,do_31257982251626496019878,2018-09-03T10:25:31.183+0000,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982251626496019878/artifact/1eeufwp9m4dwq2bdkqd8t0hj0jybs1nh1.thumb.png,prod.diksha.app,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982251626496019878/artifact/17vr1zwqdq5-hubp9hyrs8dmc6gkenyby_1535622866240.pdf,,['Learner'],CBSE,in.ekstep,ekstep,,4,3961fd1a-48dd-4993-bbc4-766cd1a7556d,inline,identity,Resource,9480,['ncert'],2018-08-30T09:54:25.754+0000,,"Resources and Development_2_Land, Soil, Water, Natural Vegetation and Wildlife Resources_Land_Land",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982251626496019878/land-soil-water-natural-vegetation-and-wildlife-resources_land_1_1535970330855_do_31257982251626496019878_1.0.ecar,ekstep_ncert_k-12,Class 8,domain,hdpi,normal,do_31257982251626496019878,"['Land', ' Natural Resources', ' Earth’s Surface', ' Climate', ' Rugged ', ' Topography', 'dry Land']",['English'],ekstep,2018-09-03T10:25:30.855+0000,,ekstep,2018-09-03T10:25:30.559+0000,,content,English,application/pdf,"Land, Soil, Water, Natural Vegetation and Wildlife Resources_Land_1",DATA_NODE,574950,Content,['All'],org.ekstep.quiz.app,Poulami Paul_www.wikipedia.org,,1.0,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_31257982251626496019878/1eeufwp9m4dwq2bdkqd8t0hj0jybs1nh1.png,['external'],Draft,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_31257982251626496019878/artifact/17vr1zwqdq5-hubp9hyrs8dmc6gkenyby_1535622866240.pdf,Learn,ecar_files/do_31257982251626496019878/land-soil-water-natural-vegetation-and-wildlife-resources_land_1_1535970330855_do_31257982251626496019878_1.0.ecar,,617694.0,Live,Geography,['Land; Soil; Water; Natural Vegetation and Wildlife Resources'],"{'spine': {'ecarUrl': 'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31257982251626496019878/land-soil-water-natural-vegetation-and-wildlife-resources_land_1_1535970331063_do_31257982251626496019878_1.0_spine.ecar', 'size': 231088.0}}",1535970330559,Default,pdf
