0,ageGroup,artifactUrl,attributions,author,concepts,contentType,createdBy,description,downloadUrl,gradeLevel,identifier,keywords,language,name,objectType,status,subject,variants,content_type,chapter_tag,pred_grades
0,,https://youtu.be/UqBuFVy0THQ,,,[C213],Resource,2defd89a-5ed9-4ced-8efd-9fabeebe0f03,Ascending order - Video,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31233938749564518411025/ascending-order-video_1506334446444_do_31233938749564518411025_1.0.ecar,[Class 2],do_31233938749564518411025,"[Ascending, Worksheet]",[English],Ascending order - Video,Content,Live,Mathematics,"{u'spine': {u'size': 11228.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31233938749564518411025/ascending-order-video_1506334446522_do_31233938749564518411025_1.0_spine.ecar'}}",youtube,"[Knowing Your Numbers, Be My Multiple, I'll Be Your Factor]","[Class 6, Class 5]"
1,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_3123362175831244802568/png2pdf.pdf,[Madhi Foundation ],,[C213],Resource,2defd89a-5ed9-4ced-8efd-9fabeebe0f03,Ascending order chart,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123362175831244802568/ascending-order-chart_1505885858315_do_3123362175831244802568_1.0.ecar,[Class 2],do_3123362175831244802568,"[Ascending, , Worksheet]",[English],Ascending order chart,Content,Live,Mathematics,"{u'spine': {u'size': 114460.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123362175831244802568/ascending-order-chart_1505885858465_do_3123362175831244802568_1.0_spine.ecar'}}",pdf,"[Knowing Your Numbers, Be My Multiple, I'll Be Your Factor]","[Class 6, Class 5]"
2,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_3123379638715187201987/ascending-order-lp.pdf,,,[C213],Resource,2defd89a-5ed9-4ced-8efd-9fabeebe0f03,Ascending order LP,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123379638715187201987/ascending-order-lesson-plan_1506334435405_do_3123379638715187201987_2.0.ecar,[Class 2],do_3123379638715187201987,"[Ascending, , Worksheet]",[English],Ascending order Lesson Plan,Content,Live,Mathematics,"{u'spine': {u'size': 11035.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123379638715187201987/ascending-order-lesson-plan_1506334435573_do_3123379638715187201987_2.0_spine.ecar'}}",pdf,"[Knowing Your Numbers, Be My Multiple, I'll Be Your Factor]","[Class 6, Class 5]"
3,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/content/do_3123408701599989762497/artifact/1506485948940_do_3123408701599989762497.zip,,,[LO55],Resource,2defd89a-5ed9-4ced-8efd-9fabeebe0f03,Assessment Ascending Order,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123408701599989762497/assessment-ascending-order_1506485949228_do_3123408701599989762497_1.0.ecar,[Class 2],do_3123408701599989762497,"[Assessment, madhi, Worksheet]",[English],Assessment Ascending Order,Content,Live,Mathematics,"{u'spine': {u'size': 188628.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123408701599989762497/assessment-ascending-order_1506485954439_do_3123408701599989762497_1.0_spine.ecar'}}",ecml,"[Knowing Your Numbers, Be My Multiple, I'll Be Your Factor]","[Class 6, Class 5]"
4,,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/assets/do_3123363608562565122624/g2t9.mp4,,,[C213],Resource,2defd89a-5ed9-4ced-8efd-9fabeebe0f03,Madhi Assessment ascending order - video,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123363608562565122624/assessment-ascending-order-video_1505926416840_do_3123363608562565122624_1.0.ecar,[Class 2],do_3123363608562565122624,"[Assessment, , Worksheet]",[English],Assessment ascending order - video,Content,Live,Mathematics,"{u'spine': {u'size': 11223.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3123363608562565122624/assessment-ascending-order-video_1505926419242_do_3123363608562565122624_1.0_spine.ecar'}}",ecml,"[Knowing Your Numbers, Be My Multiple, I'll Be Your Factor]","[Class 6, Class 5]"
5,,https://www.youtube.com/watch?v=nKvsD2QsaGE&feature=youtu.be,,,,Resource,7a136ce9-12f6-4c9c-a0d4-ceb7fe4cfe27,To find the factors.,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124881886442864641721/chapter10_apvartya_maths_1525481600838_do_3124881886442864641721_1.0.ecar,[Class 6],do_3124881886442864641721,"[Factors, apvartya, Story]",[English],Chapter10_Apvartya_Maths,Content,Live,Mathematics,"{u'spine': {u'size': 92592.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124881886442864641721/chapter10_apvartya_maths_1525481600963_do_3124881886442864641721_1.0_spine.ecar'}}",youtube,"[Data Handling, Smart Charts]","[Class 1, Class 3]"
6,,https://www.youtube.com/watch?v=3Hy7LXUi1RE&feature=youtu.be,,,,Resource,7a136ce9-12f6-4c9c-a0d4-ceb7fe4cfe27,"ganitiy Kathan, rekhiy samikaran",https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124881913879674882663/chapter11_samikaran_maths_1525481660111_do_3124881913879674882663_1.0.ecar,[Class 6],do_3124881913879674882663,"[ganitiy Kathan, rekhiy samikaran, Story]",[English],Chapter11_samikaran_maths,Content,Live,Mathematics,"{u'spine': {u'size': 92591.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124881913879674882663/chapter11_samikaran_maths_1525481660213_do_3124881913879674882663_1.0_spine.ecar'}}",youtube,"[Smart Charts, Carts & Wheels]","[Class 3, Class 4]"
7,,https://www.youtube.com/watch?v=-b0kjWDGZfQ&feature=youtu.be,,,,Resource,7a136ce9-12f6-4c9c-a0d4-ceb7fe4cfe27,घनाभ का सम्पूर्ण पृष्ठ व आयतन निकालना,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31249822775046963228570/chapter12_mensuration_maths_1525663935989_do_31249822775046963228570_1.0.ecar,[Class 7],do_31249822775046963228570,"[घनाभ का सम्पूर्ण पृष्ठ, surface area of cuboid, volume of cuboid, घनाभ का आयतन, Story]",[English],Chapter12_mensuration_Maths,Content,Live,Mathematics,"{u'spine': {u'size': 92706.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_31249822775046963228570/chapter12_mensuration_maths_1525663936129_do_31249822775046963228570_1.0_spine.ecar'}}",youtube,"[How Many Squares?, Fun With Numbers]","[Class 5, Class 3]"
8,,https://www.youtube.com/watch?v=G6G0ph-0Q8c&feature=youtu.be,,,,Resource,7a136ce9-12f6-4c9c-a0d4-ceb7fe4cfe27,To find percentage.,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124881936299868162664/chapter12_pratishatata_maths_1525481707572_do_3124881936299868162664_1.0.ecar,[Class 6],do_3124881936299868162664,"[Pratishatata, Percentage, Story]",[English],Chapter12_Pratishatata_Maths,Content,Live,Mathematics,"{u'spine': {u'size': 92595.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124881936299868162664/chapter12_pratishatata_maths_1525481707707_do_3124881936299868162664_1.0_spine.ecar'}}",youtube,"[Fractions and Decimals, Comparing Quantities]",[Class 7]
9,,https://www.youtube.com/watch?v=fWu5hWRdKAg&feature=youtu.be,,,,Resource,7a136ce9-12f6-4c9c-a0d4-ceb7fe4cfe27,Kw about types of Triangles.,https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124881965587742722665/chapter13_tribhuj-ke-prakar_maths_1525481755018_do_3124881965587742722665_1.0.ecar,[Class 6],do_3124881965587742722665,"[Types of Triangles, tribhujon ke prakar, Story]",[English],Chapter13_tribhuj ke prakar_maths,Content,Live,Mathematics,"{u'spine': {u'size': 92606.0, u'ecarUrl': u'https://ekstep-public-prod.s3-ap-south-1.amazonaws.com/ecar_files/do_3124881965587742722665/chapter13_tribhuj-ke-prakar_maths_1525481755210_do_3124881965587742722665_1.0_spine.ecar'}}",youtube,"[Polynomials, How Heavy? How Light?]","[Class 9, Class 4]"
