State/Centre,Type,Board,Grade,Subject,Medium,Textbook Name,Chapter No.,Chapter Name,Chapter - Concept Name,Explanation,Practice,Combined,Selection process for video,Topic Name,Topic - Concept Name,Sub-Topic,Explanation,Practice,Combined,Selection process for video,Reviewed ,Comments
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,1,The Earth in the Solar System,The Solar System,https://diksha.gov.in/play/content/do_31257982036622540819785, ,,C3,NA,NA,NA,,,,,Reviewed ,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,1,The Earth in the Solar System,The Solar System, ,,,,The Solar System,Solar Family,NA,https://diksha.gov.in/play/content/do_31257982037807104019786, , ,C3,Reviewed ,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,1,The Earth in the Solar System,The Solar System, ,,,,The Solar System,Solar Family,The Sun,https://community.ekstep.in/preview/content/do_31257982044076441619787, , ,C5,Reviewed ,"Very long, may be used as teacher resource"
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,1,The Earth in the Solar System,The Solar System, ,,,,The Solar System,Solar Family,Planets,https://community.ekstep.in/preview/content/do_31257982045756620819788, , ,C5,Reviewed ,"Very long, may be used as teacher resource"
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,1,The Earth in the Solar System,The Solar System, ,,,,The Solar System,Solar Family,The Earth,https://diksha.gov.in/play/content/do_31257982053034393619792, , ,C3,Reviewed ,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,1,The Earth in the Solar System,The Solar System, ,,,,The Solar System,Solar Family,The Moon,https://diksha.gov.in/play/content/do_31257982056024473629525, , ,C5,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,1,The Earth in the Solar System,The Solar System, ,,,,The Solar System,Solar Family,Asteroids,https://diksha.gov.in/play/content/do_31257982058723737619795, ,,C5,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,1,The Earth in the Solar System,The Solar System, ,,,,The Solar System,Solar Family,Meteoroids,https://diksha.gov.in/play/content/do_31257982060972441619796, ,,C5,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,2,Globe : Latitudes and Longitudes,Latitudes and Longitudes, ,https://diksha.gov.in/play/content/do_31250416998544179212882, ,C4,NA,NA,NA,,,,,Reviewed ,"C4 is correct, but this content is has both explanation and practice, so it is Combined"
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,2,Globe : Latitudes and Longitudes,Latitudes and Longitudes, ,,,,Important Parallels of Latitudes,Parallels of Latitudes,NA,https://diksha.gov.in/play/content/do_31257982071943987219799, ,,C1,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,2,Globe : Latitudes and Longitudes,Latitudes and Longitudes, ,, ,,Heat Zones of The Earth,Heat Zones,NA,https://community.ekstep.in/preview/content/do_31257982072745164819800, ,,C3,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,2,Globe : Latitudes and Longitudes,Latitudes and Longitudes, ,,,,What Are Longitudes?,Longitudes,NA,https://diksha.gov.in/play/content/do_31257982074893926429535, , ,C5,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,2,Globe : Latitudes and Longitudes,Latitudes and Longitudes, ,,,,Longitude and Time,Longitude and Time,NA,https://diksha.gov.in/play/content/do_31257982077906944019802,https://diksha.gov.in/play/content/do_31257982080620134419805, ,"C1,C5",Reviewed ,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,2,Globe : Latitudes and Longitudes,Latitudes and Longitudes, ,,,,Why Do We Have Standard Time?,Standard Time,NA,https://diksha.gov.in/play/content/do_31257982081319731229537, ,,C1,Reviewed ,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,3,Motions of the Earth,Earth's Motion,https://diksha.gov.in/play/content/do_31257982082944204829538, ,,C3,NA,NA,NA,https://diksha.gov.in/play/content/do_31257982083920691229539, ,,C1,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,4,Maps,Concept of Maps, , ,,,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,4,Maps,Concept of Maps, ,,,,Physical Maps,Physical Maps,NA,https://diksha.gov.in/play/content/do_31257982088292761619811, ,,C1,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,4,Maps,Concept of Maps, ,,,,Political Maps,Political Maps,NA,, ,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,4,Maps,Concept of Maps, ,,,,Thematic Maps,Thematic Maps,NA,, ,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,4,Maps,Concept of Maps, ,,,,Distance,Distance,NA, , ,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,4,Maps,Concept of Maps, ,,,,Direction,Direction,NA, , ,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,4,Maps,Concept of Maps, ,,,,Symbols,Symbols,NA,https://diksha.gov.in/play/content/do_31257982104086937619822, ,,C3 covered 3 topics,Reviewed,Ok to cover 3 topics in one
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,4,Maps,Concept of Maps, ,,,,Sketch,Sketch,NA,, ,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,4,Maps,Concept of Maps, ,,,,Plan,Plan,NA,, ,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,5,Major Domains of The Earth,Domains of The Earth, ,,,,NA,NA,NA,,,,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,5,Major Domains of The Earth,Domains of The Earth, ,,,,Lithosphere,Lithosphere,NA,,, ,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,5,Major Domains of The Earth,Domains of The Earth, ,,,,Lithosphere,Lithosphere,Continents,,, ,,,
Centre,K-12,CBSE,Class 6,Geography,English,The Earth : Our Habitat,5,Major Domains of The Earth,Domains of The Earth, ,,,,Hydrosphere,Hydrosphere,NA,,, ,,,
