,Board,Chapter - Concept Name,Chapter Concept Name,Chapter Name,Chapter No.,Ekstep Comments,Ekstep comments,Grade,Keywords,Medium,Netscribes Comments,Netscribes comments,State/Centre,Sub-Topic,Subject,Textbook Name,Topic - Concept Name,Topic Name,Type
0,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"Health, Disease, illness, metabolic efficiency, metabolism, World Health Organisation, WHO, infirmity",English,,,Centre,,Health and Physical Education,Health and Physical Education,Health and Diseases - Introduction,Introduction,K-12
1,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"Illness, non communicable, communicable, high blood pressure, cold, Why We Fall Ill",English,,,Centre,,Health and Physical Education,Health and Physical Education,Illness,What is Illness?,K-12
2,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"Communicable Disease, bacteria, virus, transmitted",English,,,Centre,,Health and Physical Education,Health and Physical Education,Communicable Diseases,Communicable Diseases,K-12
3,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"causative organism, Bacterial, Viral, Protozoal, Fungal, Parasitic, Typhoid, Cholera, Tuberculosis, cold, Influenza, HIV, Dengue, Malaria, Kala azar, Fungal infection",English,,,Centre,Classification,Health and Physical Education,Health and Physical Education,Communicable Diseases,Communicable Diseases,K-12
4,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"Direct transmission, Direct contact, touching, Droplet infection, Contact, soil, Inoculation, skin, mucosa, hookworm infestation, tetanus, meningitis, Rabies, Hepatitis, HIV, Human Immunodeficiency Virus, AIDS, Acquired Immune Deficiency Syndrome",English,,,Centre,Classification - Direct transmission,Health and Physical Education,Health and Physical Education,Communicable Diseases,Communicable Diseases,K-12
5,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"Indirect transmission, Communicable disease, 5Fs, fly, finger, food, fluid, vector, living carrier, Fomite, dysentery, Eye, skin infection, typhoid, diarrhoea, polio, intestinal parasite, infective hepatitis, malaria, plague, respiratory infection, itch mite",English,,,Centre,Classification - Indirect transmission,Health and Physical Education,Health and Physical Education,Communicable Diseases,Communicable Diseases,K-12
6,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"Communicable Disease, Personal hygiene, Prevention, Control, Food, water hygiene, Environmental sanitation, Vaccine, Treatment, disease, medicine, Isolation, patient, Education, awareness, microbe, virus, bacteria, fungi, diarrhoea, flu, skin, eye infection, contamination, fly, sanitary latrine, immunity, diphtheria, pertussis, polio, tetanus, rabies, measle, chickenpox, typhoid, anti viral, anti fungal, anti protozoal, antibiotic, waste disposal",English,,,Centre,Prevention and Control of Communicable Diseases,Health and Physical Education,Health and Physical Education,Communicable Diseases,Communicable Diseases,K-12
7,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"non communicable disease, genetic, lifestyle factor, lifestyle disease, Mental health disease, diabetes, heart disease, stroke, cancer, depression, trauma, Hypertension",English,,,Centre,,Health and Physical Education,Health and Physical Education,Non–communicable Diseases,Non–communicable Diseases,K-12
8,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"Hypertension, Behavioural Risk, Physiological Risk, Disease, Outcome, Heart Disease, Stroke, Diabetes, Cancer, Blood Pressure, Blood Glucose, Cholesterol, Weight Loss, Unhealthy Diet, Physical Inactivity, Alcohol Use, Stress, National Programme for Prevention and Control of Cancer, Cardiovascular Disease, Guide, Health Worker, Ministry of Health and Family Welfare, Dietary factor, Sedentary lifestyle, lack, exercise, Mental stress, chronic anxiety, Tobacco, Endocrine Disease, gutkha, khaini, Hereditary Disorder, Genetic disorder, meditation, yoga, Diabetes mellitus",English,,,Centre,High Blood Pressure or Hypertension,Health and Physical Education,Health and Physical Education,Non–communicable Diseases,Non–communicable Diseases,K-12
9,CBSE,Health and Diseases,,Health and Diseases,1,,,Class 9,"Prevention, Cure, non communicable disease, Healthy, Diet, sleep, exercise, biological clock, obesity, blood pressure, Gym, Mental relaxation, headache, bodyache, stomachache, fatigue, anxiety, depression, hypertension, heart attack, tobacco, alcohol, drug, heart disease, stroke, chronic lung disease, cancer, Addictive, Antioxidant, Ayurvedic, Homeopathy, Unani medicine, Ayurveda, diabetes, liver disorder, skin disease, stress, insomnia, sleeplessness, anorectal disease, joint pain, neuromuscular disease, paralysis, Safra, Sanda, Dam, Balgham",English,,,Centre,Prevention and Cure,Health and Physical Education,Health and Physical Education,Non–communicable Diseases,Non–communicable Diseases,K-12
