Board,Grade,Subject,Medium,Textbook Name,Science,Chapter Name,Topic Name,Sub-Topic,Identifier
Maharashtra,Class 6,Science,English,Science,1," Natural Resources – Air, Water and Land",,,do_312528046835245056147699
Maharashtra,Class 6,Science,English,Science,1," Natural Resources – Air, Water and Land",Natural resources,,
Maharashtra,Class 6,Science,English,Science,1," Natural Resources – Air, Water and Land",Air,,
Maharashtra,Class 6,Science,English,Science,1," Natural Resources – Air, Water and Land",Water,,
Maharashtra,Class 6,Science,English,Science,1," Natural Resources – Air, Water and Land",Land,,
Maharashtra,Class 6,Science,English,Science,1," Natural Resources – Air, Water and Land",The process of soil formation,,
Maharashtra,Class 6,Science,English,Science,2,The Living World,,,do_312528046835236864147690
Maharashtra,Class 6,Science,English,Science,2,The Living World,Characteristics of living things,,
Maharashtra,Class 6,Science,English,Science,2,The Living World,Growth,,
Maharashtra,Class 6,Science,English,Science,2,The Living World,Food is necessary for growth,,
Maharashtra,Class 6,Science,English,Science,2,The Living World,Respiration,,
Maharashtra,Class 6,Science,English,Science,2,The Living World,Excretion,,
Maharashtra,Class 6,Science,English,Science,2,The Living World,Responsiveness to stimuli and movement,,
Maharashtra,Class 6,Science,English,Science,2,The Living World,Reproduction,,
Maharashtra,Class 6,Science,English,Science,2,The Living World,A definite lifespan,,
Maharashtra,Class 6,Science,English,Science,2,The Living World,A cellular structure,,
Maharashtra,Class 6,Science,English,Science,2,The Living World,Useful living things,,
Maharashtra,Class 6,Science,English,Science,2,The Living World,Harmful living things,,
Maharashtra,Class 6,Science,English,Science,2,The Living World,Wild animals,,
Maharashtra,Class 6,Science,English,Science,3, Diversity in Living Things and their Classification,,,do_312528046835236864147691
Maharashtra,Class 6,Science,English,Science,3, Diversity in Living Things and their Classification,Diversity in plants,,
Maharashtra,Class 6,Science,English,Science,3, Diversity in Living Things and their Classification,Need for classification of plants,,
Maharashtra,Class 6,Science,English,Science,3, Diversity in Living Things and their Classification,Classification of plants,,
Maharashtra,Class 6,Science,English,Science,3, Diversity in Living Things and their Classification,Diversity and classification in animals,,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,,,do_312528046835245056147698
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,Disaster,,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,"How and why do the following
disasters occur ?",,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,"How and why do the following
disasters occur ?",Earthquakes,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,"How and why do the following
disasters occur ?",Floods,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,"How and why do the following
disasters occur ?",Effects of floods,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,"How and why do the following
disasters occur ?",Effects of earthquake,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,"How and why do the following
disasters occur ?",Storms,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,"How and why do the following
disasters occur ?",Effects of storms,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,"How and why do the following
disasters occur ?",Forest fires,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,"How and why do the following
disasters occur ?",Effects of forest fires,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,Remedial and preventive measures,,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,Remedial and preventive measures,External bleeding,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,Remedial and preventive measures,Burns and scalds Minor burns,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,Remedial and preventive measures,Sunstroke,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,Remedial and preventive measures,Snakebite,
Maharashtra,Class 6,Science,English,Science,4,Disaster Management,Remedial and preventive measures,Dog bite,
,,,,,5,Substances in the Surroundings – Their States and Properties,,,do_312528046835236864147694
